Date,Airline,Departure,Arrival,OverallRating,ReportLink
13/03/2023,GOL Transportes Aereos,BSBBrasilia Presidente Juscelino Kubitschek Int'l ,CGHSao Paulo Congonhas Int'l ,9,../flightlog/report_569028_GOL Transportes Aereos_1457.htm
11/03/2023,LATAM Brasil,GRUSao Paulo Guarulhos Int'l ,BSBBrasilia Presidente Juscelino Kubitschek Int'l ,8,../flightlog/report_569027_LATAM Brasil_3234.htm
05/03/2023,Egyptair,BRUBrussels Brussels ,CAICairo Cairo International ,6,../flightlog/report_569318_Egyptair_726.htm
04/03/2023,Air France,CDGParis Charles De Gaulle ,RNSRennes St Jacques ,10,../flightlog/report_568181_Air France_7650.htm
04/03/2023,Luxair,TFSTenerife Sur Reina Sofia ,LUXLuxembourg Findel ,9,../flightlog/report_568250_Luxair_714.htm
03/03/2023,Air France,ZAGZagreb Pleso ,CDGParis Charles De Gaulle ,10,../flightlog/report_568068_Air France_1561.htm
27/02/2023,Luxair,LUXLuxembourg Findel ,TFSTenerife Sur Reina Sofia ,10,../flightlog/report_568243_Luxair_711.htm
27/02/2023,Batik Air,SINSingapore Changi ,UPGUjung Pandang Hasanudin ,7,../flightlog/report_568852_Batik Air_7295.htm
27/02/2023,Air France,RNSRennes St Jacques ,AMSAmsterdam Schiphol ,10,../flightlog/report_567667_Air France_1030.htm
27/02/2023,KLM,AMSAmsterdam Schiphol ,ZAGZagreb Pleso ,10,../flightlog/report_567668_KLM_1943.htm
25/02/2023,Air Transat,YQBQuebec Quebec International (Jean-Lesage) - Quebec,CDGParis Charles De Gaulle ,9,../flightlog/report_567402_Air Transat_116.htm
23/02/2023,Vueling Airlines,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,8,../flightlog/report_567163_Vueling Airlines_8302.htm
22/02/2023,LATAM Brasil,CGHSao Paulo Congonhas Int'l ,CWBCuritiba Afonso Pena Int'l ,9,../flightlog/report_567185_LATAM Brasil_3010.htm
21/02/2023,EasyJet Europe,CDGParis Charles De Gaulle ,LISLisbon Lisboa ,8,../flightlog/report_570926_EasyJet Europe_3759.htm
20/02/2023,Philippine Airlines,SFOSan Francisco San Francisco International - California,MNLManila Ninoy Aquino Int'l ,9,../flightlog/report_566998_Philippine Airlines_105.htm
